Character,Lightning,Bleeding,Poison,Fire,Falling,Telekinetic,Radiant,Necrotic,Psychic,Ice,Acid,Thunder,Physical,Unique instances of Lightning,Unique instances of Bleeding,Unique instances of Poison,Unique instances of Fire,Unique instances of Falling,Unique instances of Telekinetic,Unique instances of Radiant,Unique instances of Necrotic,Unique instances of Psychic,Unique instances of Ice,Unique instances of Acid,Unique instances of Thunder,Unique instances of Physical,
Keyleth,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,2,
Pike,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,2,
Grog,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,1,
Percy,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,8,
Scanlan,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,2,
Trinket,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
