Character,Lightning,Bleeding,Poison,Fire,Falling,Telekinetic,Radiant,Necrotic,Psychic,Ice,Acid,Thunder,Physical,Unique instances of Lightning,Unique instances of Bleeding,Unique instances of Poison,Unique instances of Fire,Unique instances of Falling,Unique instances of Telekinetic,Unique instances of Radiant,Unique instances of Necrotic,Unique instances of Psychic,Unique instances of Ice,Unique instances of Acid,Unique instances of Thunder,Unique instances of Physical,
Keyleth,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,5,
Pike,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,
Grog,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,4,
Percy,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,3,
Scanlan,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,1,
Trinket,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
