Character,Lightning,Bleeding,Poison,Fire,Falling,Telekinetic,Radiant,Necrotic,Psychic,Ice,Acid,Thunder,Physical,Unique instances of Lightning,Unique instances of Bleeding,Unique instances of Poison,Unique instances of Fire,Unique instances of Falling,Unique instances of Telekinetic,Unique instances of Radiant,Unique instances of Necrotic,Unique instances of Psychic,Unique instances of Ice,Unique instances of Acid,Unique instances of Thunder,Unique instances of Physical,
Keyleth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Pike,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Grog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Percy,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,5,
Scanlan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Trinket,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Tiberius,0,0,0,0,0,0,0,0,0,0,0,0,324,0,0,0,0,0,0,0,0,0,0,0,0,10,
