Character,Lightning,Bleeding,Poison,Fire,Falling,Telekinetic,Radiant,Necrotic,Psychic,Ice,Acid,Thunder,Physical,Unique instances of Lightning,Unique instances of Bleeding,Unique instances of Poison,Unique instances of Fire,Unique instances of Falling,Unique instances of Telekinetic,Unique instances of Radiant,Unique instances of Necrotic,Unique instances of Psychic,Unique instances of Ice,Unique instances of Acid,Unique instances of Thunder,Unique instances of Physical,
Keyleth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Pike,0,0,0,0,0,0,0,0,0,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,5,
Grog,0,0,0,0,0,0,0,0,0,0,0,0,346,0,0,0,0,0,0,0,0,0,0,0,0,9,
Percy,0,0,0,0,0,0,0,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,4,
Scanlan,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,3,
Trinket,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
