Character,Lightning,Bleeding,Poison,Fire,Falling,Telekinetic,Radiant,Necrotic,Psychic,Ice,Acid,Thunder,Physical,Unique instances of Lightning,Unique instances of Bleeding,Unique instances of Poison,Unique instances of Fire,Unique instances of Falling,Unique instances of Telekinetic,Unique instances of Radiant,Unique instances of Necrotic,Unique instances of Psychic,Unique instances of Ice,Unique instances of Acid,Unique instances of Thunder,Unique instances of Physical,
Keyleth,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,3,
Pike,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,2,
Grog,0,0,0,0,0,0,0,0,0,0,0,0,233,0,0,0,0,0,0,0,0,0,0,0,0,9,
Percy,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,3,
Scanlan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Trinket,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Tiberius,0,0,0,0,0,0,0,0,0,0,0,0,222,0,0,0,0,0,0,0,0,0,0,0,0,7,
